Название;Ссылка;Бренд;Изображение карты
Домовичок MC Debit;https://minfin.com.ua/cards/card/view/domovichok-mc-debit;Укргазбанк;https://minfin.com.ua/cimgs/cards/domovichok-mc-debit.png
Visa Classic;https://minfin.com.ua/cards/card/view/visa-classic-838905227;Прокредит Банк;https://minfin.com.ua/cimgs/cards/visa-classic-838905227.png
Кредитная карта FAMIGLIA Platinum;https://minfin.com.ua/cards/card/view/kreditnaya-karta-famiglia-807112540;Правэкс банк;https://minfin.com.ua/cimgs/cards/kreditnaya-karta-famiglia-807112540.png
Cappuccino MC Platinum;https://minfin.com.ua/cards/card/view/cappuccino-mc-platinum;Правэкс банк;https://minfin.com.ua/cimgs/cards/cappuccino-mc-platinum.png
Cappuccino Visa Classic;https://minfin.com.ua/cards/card/view/cappuccino-visa-classic;Правэкс банк;https://minfin.com.ua/cimgs/cards/cappuccino-visa-classic.png
Кредитная карта FAMIGLIA;https://minfin.com.ua/cards/card/view/kreditnaya-karta-famiglia;Правэкс банк;https://minfin.com.ua/cimgs/cards/kreditnaya-karta-famiglia.png
Эко-кредитка MC Debit;https://minfin.com.ua/cards/card/view/e-ko-kreditka-mc-debit;Укргазбанк;https://minfin.com.ua/cimgs/cards/e-ko-kreditka-mc-debit.png
Приватная Вояж Драйв Visa Infinite;https://minfin.com.ua/cards/card/view/privatnaya-voyazh-drajv-visa-infinite;Укргазбанк;https://minfin.com.ua/cimgs/cards/privatnaya-voyazh-drajv-visa-infinite.png
Приватная Вояж Драйв Visa Infinite;https://minfin.com.ua/cards/card/view/privatnaya-voyazh-drajv-visa-infinite;Укргазбанк;https://minfin.com.ua/cimgs/cards/privatnaya-voyazh-drajv-visa-infinite.png
Приватная Вояж Драйв MC World Elite;https://minfin.com.ua/cards/card/view/privatnaya-premium-drajv-mc-world-elite;Укргазбанк;https://minfin.com.ua/cimgs/cards/privatnaya-premium-drajv-mc-world-elite.png
Приватная Премиум Драйв Visa Platinum;https://minfin.com.ua/cards/card/view/privatnaya-premium-drajv-visa-platinum;Укргазбанк;https://minfin.com.ua/cimgs/cards/privatnaya-premium-drajv-visa-platinum.png
Приватная Премиум Драйв MC Platinum;https://minfin.com.ua/cards/card/view/privatnaya-premium-drajv-mc-platinum;Укргазбанк;https://minfin.com.ua/cimgs/cards/privatnaya-premium-drajv-mc-platinum.png
Приватная Престиж Драйв Visa Gold;https://minfin.com.ua/cards/card/view/privatnaya-prestizh-drajv-visa-gold;Укргазбанк;https://minfin.com.ua/cimgs/cards/privatnaya-prestizh-drajv-visa-gold.png
Приватная Престиж Драйв MC Gold;https://minfin.com.ua/cards/card/view/privatnaya-prestizh-drajv-mc-gold;Укргазбанк;https://minfin.com.ua/cimgs/cards/privatnaya-prestizh-drajv-mc-gold.png
Graphite;https://minfin.com.ua/cards/card/view/graphite;Альфа-Банк;https://minfin.com.ua/cimgs/cards/graphite.png
Black;https://minfin.com.ua/cards/card/view/black;Альфа-Банк;https://minfin.com.ua/cimgs/cards/black.png
White;https://minfin.com.ua/cards/card/view/white;Альфа-Банк;https://minfin.com.ua/cimgs/cards/white.png
Приватная Старт Драйв Visa Classic;https://minfin.com.ua/cards/card/view/privatnaya-start-drajv-visa-classic;Укргазбанк;https://minfin.com.ua/cimgs/cards/privatnaya-start-drajv-visa-classic.png
